"","X","h_name","h_id","datetime","lat","lon","radius","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","rainfall","year","point_max","location"
"198",195,"MARIA","AL152017","2017-09-19 01:00:00","15.4N","61.3W",130,145,920,130,110,110,80,80,60,80,50,50,50,40,0,"2017",37.9,"Caguas 8 S, PR"
"199",196,"MARILYN","AL151995","1995-09-14 21:00:00","15.5N","61.3W",0,70,984,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1995",NA,NA
"200",197,"MATTHEW","AL142004","2004-10-10 11:00:00","29.2N","91.0W",0,35,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2004",NA,NA
"201",198,"MATTHEW","AL142016","2016-10-04 11:00:00","18.3N","74.3W",190,130,935,190,160,140,70,70,60,60,50,50,50,40,1273.159,"2016",18.95,"Evergreen 3.3 NE, NC"
"202",199,"MATTHEW","AL152010","2010-09-24 19:00:00","14.7N","83.3W",150,50,998,150,30,120,45,45,0,0,0,0,0,0,0,"2010",NA,NA
"203",200,"MICHAEL","AL142018","2018-10-10 17:00:00","30.0N","85.5W",140,140,919,90,140,80,60,60,50,50,35,35,35,25,0,"2018",13.01,"Black Mountain 2.4 SE, NC"
"204",201,"MICHELLE","AL152001","2001-11-04 18:00:00","21.5N","76.4W",0,120,949,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2001",NA,NA
"205",202,"MITCH","AL131998","1998-10-29 12:00:00","15.9N","81.9W",0,70,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1998",NA,NA
"206",203,"NATE","AL152011","2011-09-11 16:00:00","20.5N","97.0W",45,40,1006,45,45,45,0,0,0,0,0,0,0,0,0,"2011",NA,NA
"207",204,"NATE","AL162017","2017-10-05 12:00:00","13.9N","83.5W",110,75,983,110,100,70,50,50,0,20,30,30,30,0,231.596,"2017",9.93,"Gulf Breeze 7.2 ENE, FL"
"208",205,"NOEL","AL162007","2007-10-29 07:00:00","18.1N","72.5W",175,55,992,175,150,100,30,30,0,30,0,0,0,0,52.242,"2007",NA,NA
